"ListItem-c11n-8-84-3__sc-10e22w8-0","ListItem-c11n-8-84-3__sc-10e22w8-0 2","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 2","PropertyCardWrapper__StyledPriceLine-srp__sc-16e8gqd-1","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0","Icon-c11n-8-84-3__sc-13llmml-0","Image-c11n-8-84-3__sc-1rtmhsc-0 src","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0","Icon-c11n-8-84-3__sc-13llmml-0 2","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 2","Icon-c11n-8-84-3__sc-13llmml-0 3","Image-c11n-8-84-3__sc-1rtmhsc-0 src 2","Image-c11n-8-84-3__sc-1rtmhsc-0 src 3","Image-c11n-8-84-3__sc-1rtmhsc-0 src 4","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0 2","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 3","StyledButtonIcon-c11n-8-84-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1511 NW 87th Way, Hollywood, FL 33024"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,726""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1511 NW 87th Way"",""addressLocality"":""Hollywood"",""addressRegion"":""FL"",""postalCode"":""33024""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":26.021254,""longitude"":-80.26123},""url"":""https://www.zillow.com/homedetails/1511-NW-87th-Way-Hollywood-FL-33024/43277917_zpid/""}","","https://www.zillow.com/homedetails/1511-NW-87th-Way-Hollywood-FL-33024/43277917_zpid/","1511 NW 87th Way, Hollywood, FL 33024","WIZ REALTY","$449,900","- House for sale","3","bds","2","ba","1,726","sqft","7 days on Zillow","","https://photos.zillowstatic.com/fp/11470fbfca6bd246a8708da0ff0e5603-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/9aa6cb79b1393c80972631eb87cdfc92-p_e.jpg","https://photos.zillowstatic.com/fp/768d7c6bba202b2b44317209f39b46e4-p_e.jpg","https://photos.zillowstatic.com/fp/08e941e16462d8a86b32036aa9f0d068-p_e.jpg","Use arrow keys to navigate","Image 1 of 21","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10726 Boca Woods Ln, Boca Raton, FL 33428"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,505""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10726 Boca Woods Ln"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33428""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":26.350277,""longitude"":-80.2146},""url"":""https://www.zillow.com/homedetails/10726-Boca-Woods-Ln-Boca-Raton-FL-33428/46507925_zpid/""}","","https://www.zillow.com/homedetails/10726-Boca-Woods-Ln-Boca-Raton-FL-33428/46507925_zpid/","10726 Boca Woods Ln, Boca Raton, FL 33428","LOKATION","$585,000","- House for sale","3","bds","3","ba","2,505","sqft","17 days on Zillow","","https://photos.zillowstatic.com/fp/11470fbfca6bd246a8708da0ff0e5603-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/b52173c0cf35a9b4b9154681f4d6866b-p_e.jpg","https://photos.zillowstatic.com/fp/51f92894cb62383a37cdc8df6a5e88e8-p_e.jpg","https://photos.zillowstatic.com/fp/5b0277943b94a1afec8aea5b293d18aa-p_e.jpg","Use arrow keys to navigate","Image 1 of 30","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""16856 SW 39th Cir, Ocala, FL 34473"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,551""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""16856 SW 39th Cir"",""addressLocality"":""Ocala"",""addressRegion"":""FL"",""postalCode"":""34473""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":28.975155,""longitude"":-82.188866},""url"":""https://www.zillow.com/homedetails/16856-SW-39th-Cir-Ocala-FL-34473/2055606350_zpid/""}","","https://www.zillow.com/homedetails/16856-SW-39th-Cir-Ocala-FL-34473/2055606350_zpid/","16856 SW 39th Cir, Ocala, FL 34473","4u Custom Homes Inc, FLORIDA REALTY INVESTMENTS","$278,900","- New construction","4","bds","3","ba","1,551","sqft","","","https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/828732f843eb0119e7fa36be43d839d0-p_e.jpg","https://photos.zillowstatic.com/fp/bfd9280be6e03d1031a414fa88d8cc1f-p_e.jpg","https://photos.zillowstatic.com/fp/baec7a8af82c5b8c85f7cdf0531680e2-p_e.jpg","Use arrow keys to navigate","Image 1 of 15","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4871 Tall Pine Dr, Marianna, FL 32446"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,832""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4871 Tall Pine Dr"",""addressLocality"":""Marianna"",""addressRegion"":""FL"",""postalCode"":""32446""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":30.799482,""longitude"":-85.18964},""url"":""https://www.zillow.com/homedetails/4871-Tall-Pine-Dr-Marianna-FL-32446/45285586_zpid/""}","","https://www.zillow.com/homedetails/4871-Tall-Pine-Dr-Marianna-FL-32446/45285586_zpid/","4871 Tall Pine Dr, Marianna, FL 32446","100% REAL ESTATE","$134,000","- Foreclosure","3","bds","2","ba","1,832","sqft","32 days on Zillow","","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/a332d089bb75dea6e87820247a0ae831-p_e.jpg","https://photos.zillowstatic.com/fp/49fa601cda2057014474a669fadd08b3-p_e.jpg","https://photos.zillowstatic.com/fp/0f65dcea2a21e71a7b5012c5a9aa6481-p_e.jpg","Use arrow keys to navigate","Image 1 of 17","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2160 Bassett Rd, Quincy, FL 32351"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,396""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2160 Bassett Rd"",""addressLocality"":""Quincy"",""addressRegion"":""FL"",""postalCode"":""32351""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":30.60702,""longitude"":-84.66953},""url"":""https://www.zillow.com/homedetails/2160-Bassett-Rd-Quincy-FL-32351/2058215724_zpid/""}","","https://www.zillow.com/homedetails/2160-Bassett-Rd-Quincy-FL-32351/2058215724_zpid/","2160 Bassett Rd, Quincy, FL 32351","1ST CHOICE REAL ESTATE SERVICE","$139,900","- Foreclosure","3","bds","3","ba","3,396","sqft","17 days on Zillow","","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/c6ae61621068cd27bcbfb8d3920e0e75-p_e.jpg","https://photos.zillowstatic.com/fp/ec909ec23a4f62dc7b27aed64cba5504-p_e.jpg","https://photos.zillowstatic.com/fp/594ddd189bcd1fcdd2808d9b58577c31-p_e.jpg","Use arrow keys to navigate","Image 1 of 17","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""285 S Fletcher Ave, Fernandina Beach, FL 32034"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,881""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""285 S Fletcher Ave"",""addressLocality"":""Fernandina Beach"",""addressRegion"":""FL"",""postalCode"":""32034""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":30.66361,""longitude"":-81.43265},""url"":""https://www.zillow.com/homedetails/285-S-Fletcher-Ave-Fernandina-Beach-FL-32034/45936190_zpid/""}","","https://www.zillow.com/homedetails/285-S-Fletcher-Ave-Fernandina-Beach-FL-32034/45936190_zpid/","285 S Fletcher Ave, Fernandina Beach, FL 32034","SUMMER HOUSE REALTY","$1,299,000","- House for sale","3","bds","2","ba","1,881","sqft","2 hours ago","","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/a285748cd534e4fdaa409b2584a8596c-p_e.jpg","https://photos.zillowstatic.com/fp/703528694d3f3ddd8e30ddd366faa50c-p_e.jpg","https://photos.zillowstatic.com/fp/89cad11b2b74c82782573ccde91a223e-p_e.jpg","Use arrow keys to navigate","Image 1 of 29","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3150 Rushing Creek Rd, Pensacola, FL 32526"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,028""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3150 Rushing Creek Rd"",""addressLocality"":""Pensacola"",""addressRegion"":""FL"",""postalCode"":""32526""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":30.515617,""longitude"":-87.321625},""url"":""https://www.zillow.com/homedetails/3150-Rushing-Creek-Rd-Pensacola-FL-32526/44682136_zpid/""}","","https://www.zillow.com/homedetails/3150-Rushing-Creek-Rd-Pensacola-FL-32526/44682136_zpid/","3150 Rushing Creek Rd, Pensacola, FL 32526","CENTURY 21 AMERISOUTH REALTY","$465,000","- House for sale","3","bds","3","ba","3,028","sqft","Price cut: $30,000 (Sep 17)","","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/cd432e12ec037a6972eeeb0af1179f91-p_e.jpg","https://photos.zillowstatic.com/fp/3ae2978d3813619a5ca6579eb119b0c1-p_e.jpg","https://photos.zillowstatic.com/fp/3ae2978d3813619a5ca6579eb119b0c1-p_e.jpg","Use arrow keys to navigate","Image 1 of 50","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4728 Julington Creek Rd, Jacksonville, FL 32258"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,012""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4728 JULINGTON CREEK RD"",""addressLocality"":""Jacksonville"",""addressRegion"":""FL"",""postalCode"":""32258""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":30.136173,""longitude"":-81.58354},""url"":""https://www.zillow.com/homedetails/4728-Julington-Creek-Rd-Jacksonville-FL-32258/44573644_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 4728 JULINGTON CREEK RD"",""url"":""https://www.zillow.com/homedetails/4728-Julington-Creek-Rd-Jacksonville-FL-32258/44573644_zpid/"",""image"":""https://photos.zillowstatic.com/fp/08cda9112b11718b29cf773f995b3fe9-p_e.jpg"",""startDate"":""2023-09-20"",""endDate"":""2023-09-20"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/4728-Julington-Creek-Rd-Jacksonville-FL-32258/44573644_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""4728 JULINGTON CREEK RD"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4728 JULINGTON CREEK RD"",""postalCode"":""32258"",""addressLocality"":""Jacksonville"",""addressRegion"":""FL""}}],""offers"":{""price"":449000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/4728-Julington-Creek-Rd-Jacksonville-FL-32258/44573644_zpid/"",""validFrom"":""2023-09-20""}}","https://www.zillow.com/homedetails/4728-Julington-Creek-Rd-Jacksonville-FL-32258/44573644_zpid/","4728 JULINGTON CREEK RD, JACKSONVILLE, FL 32258","","$449,000","- House for sale","4","bds","3","ba","2,012","sqft","3D Tour","Three Dimensional","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/08cda9112b11718b29cf773f995b3fe9-p_e.jpg","https://photos.zillowstatic.com/fp/0cfb993472d0c9e39e6966a6c0ebf79d-p_e.jpg","https://photos.zillowstatic.com/fp/3628b12ea6d12a6054b5917928a99127-p_e.jpg","Use arrow keys to navigate","Image 1 of 48","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""708 Forgotten Way, Jacksonville, FL 32221"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,494""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""708 FORGOTTEN WAY"",""addressLocality"":""Jacksonville"",""addressRegion"":""FL"",""postalCode"":""32221""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":30.306145,""longitude"":-81.84176},""url"":""https://www.zillow.com/homedetails/708-Forgotten-Way-Jacksonville-FL-32221/154532524_zpid/""}","","https://www.zillow.com/homedetails/708-Forgotten-Way-Jacksonville-FL-32221/154532524_zpid/","708 FORGOTTEN WAY, JACKSONVILLE, FL 32221","","$199,000","- House for sale","3","bds","2","ba","1,494","sqft","Price cut: $30,000 (Sep 15)","","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/9385c000eac0871604941a262a105479-p_e.jpg","https://photos.zillowstatic.com/fp/4759524e3f73bd4fee825d197cf199fc-p_e.jpg","https://photos.zillowstatic.com/fp/03c9ec11b5e095565da364d31faa8614-p_e.jpg","Use arrow keys to navigate","Image 1 of 19","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""195 Heather Ln, Defuniak Springs, FL 32433"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,762""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""195 Heather Ln"",""addressLocality"":""Defuniak Springs"",""addressRegion"":""FL"",""postalCode"":""32433""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":30.739756,""longitude"":-86.11846},""url"":""https://www.zillow.com/homedetails/195-Heather-Ln-Defuniak-Springs-FL-32433/48120961_zpid/""}","","https://www.zillow.com/homedetails/195-Heather-Ln-Defuniak-Springs-FL-32433/48120961_zpid/","195 Heather Ln, Defuniak Springs, FL 32433","MERRIFIELD & PILCHER REALTY","$174,900","- House for sale","4","bds","2","ba","1,762","sqft","Price cut: $20,100 (Sep 13)","","https://photos.zillowstatic.com/fp/e2b0eb592fe37378ee9a33eee7d4921c-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/263b6d12a2d4069099b870f6a62f8699-p_e.jpg","https://photos.zillowstatic.com/fp/8dcf4873de85e30560e5e3df36156b75-p_e.jpg","https://photos.zillowstatic.com/fp/53a330de5214458764f46d9260873388-p_e.jpg","Use arrow keys to navigate","Image 1 of 20","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1213 Beaumont St, Saint Johns, FL 32259"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,265""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1213 BEAUMONT ST"",""addressLocality"":""Saint Johns"",""addressRegion"":""FL"",""postalCode"":""32259""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":30.095667,""longitude"":-81.63263},""url"":""https://www.zillow.com/homedetails/1213-Beaumont-St-Saint-Johns-FL-32259/47735741_zpid/""}","","https://www.zillow.com/homedetails/1213-Beaumont-St-Saint-Johns-FL-32259/47735741_zpid/","1213 BEAUMONT ST, ST JOHNS, FL 32259","","$565,000","- House for sale","4","bds","3","ba","2,265","sqft","6 days on Zillow","","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/207c87ce1fe27e484ed5e928a07515af-p_e.jpg","https://photos.zillowstatic.com/fp/173cd07e32e20d36d0ea10ea5b968b35-p_e.jpg","https://photos.zillowstatic.com/fp/126d79b9cb7b06a5a8ae687a4022a193-p_e.jpg","Use arrow keys to navigate","Image 1 of 45","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""211 65th Avenue Dr W, Bradenton, FL 34207"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,360""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""211 65th Avenue Dr W"",""addressLocality"":""Bradenton"",""addressRegion"":""FL"",""postalCode"":""34207""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":27.424734,""longitude"":-82.56505},""url"":""https://www.zillow.com/homedetails/211-65th-Avenue-Dr-W-Bradenton-FL-34207/45780640_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 211 65th Avenue Dr W"",""url"":""https://www.zillow.com/homedetails/211-65th-Avenue-Dr-W-Bradenton-FL-34207/45780640_zpid/"",""image"":""https://photos.zillowstatic.com/fp/7575eeb5ed72f68188a1f564cb1d799b-p_e.jpg"",""startDate"":""2023-09-20"",""endDate"":""2023-09-20"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/211-65th-Avenue-Dr-W-Bradenton-FL-34207/45780640_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""211 65th Avenue Dr W"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""211 65th Avenue Dr W"",""postalCode"":""34207"",""addressLocality"":""Bradenton"",""addressRegion"":""FL""}}],""offers"":{""price"":349000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/211-65th-Avenue-Dr-W-Bradenton-FL-34207/45780640_zpid/"",""validFrom"":""2023-09-20""},""performer"":""Redfin Corporation""}","https://www.zillow.com/homedetails/211-65th-Avenue-Dr-W-Bradenton-FL-34207/45780640_zpid/","211 65th Avenue Dr W, Bradenton, FL 34207","REDFIN CORPORATION","$349,000","- House for sale","3","bds","2","ba","1,360","sqft","3D Tour","Three Dimensional","https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/7575eeb5ed72f68188a1f564cb1d799b-p_e.jpg","https://photos.zillowstatic.com/fp/4614402ee033d61f34a46980a537e49f-p_e.jpg","https://photos.zillowstatic.com/fp/d3275900b6a60d198a79ca83a781f6ec-p_e.jpg","Use arrow keys to navigate","Image 1 of 41","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""76 Sanchez Ave, Ormond Beach, FL 32174"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,053""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""76 Sanchez Ave"",""addressLocality"":""Ormond Beach"",""addressRegion"":""FL"",""postalCode"":""32174""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":29.300467,""longitude"":-81.065674},""url"":""https://www.zillow.com/homedetails/76-Sanchez-Ave-Ormond-Beach-FL-32174/48012872_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 76 Sanchez Ave"",""url"":""https://www.zillow.com/homedetails/76-Sanchez-Ave-Ormond-Beach-FL-32174/48012872_zpid/"",""image"":""https://photos.zillowstatic.com/fp/806dafab36492f030a0cb4ad133c4922-p_e.jpg"",""startDate"":""2023-09-20"",""endDate"":""2023-09-20"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/76-Sanchez-Ave-Ormond-Beach-FL-32174/48012872_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""76 Sanchez Ave"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""76 Sanchez Ave"",""postalCode"":""32174"",""addressLocality"":""Ormond Beach"",""addressRegion"":""FL""}}],""offers"":{""price"":499900,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/76-Sanchez-Ave-Ormond-Beach-FL-32174/48012872_zpid/"",""validFrom"":""2023-09-20""},""performer"":""Nonmember office""}","https://www.zillow.com/homedetails/76-Sanchez-Ave-Ormond-Beach-FL-32174/48012872_zpid/","76 Sanchez Ave, Ormond Beach, FL 32174","NONMEMBER OFFICE, Listing Reciprocal. Listing provided by DBAMLS","$499,900","- House for sale","3","bds","3","ba","2,053","sqft","3D Tour","Three Dimensional","https://photos.zillowstatic.com/fp/cc45f5baf72ebb81d136978ae7e7cbf0-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/806dafab36492f030a0cb4ad133c4922-p_e.jpg","https://photos.zillowstatic.com/fp/61971886d791ad5dafeae54b619a0a95-p_e.jpg","https://photos.zillowstatic.com/fp/088c0742dba742b0614ba09c2d3e0633-p_e.jpg","Use arrow keys to navigate","Image 1 of 49","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""167 Fletcher St, Pt Charlotte, FL 33954"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,564""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""167 Fletcher St"",""addressLocality"":""Pt Charlotte"",""addressRegion"":""FL"",""postalCode"":""33954""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":27.027779,""longitude"":-82.096405},""url"":""https://www.zillow.com/homedetails/167-Fletcher-St-Pt-Charlotte-FL-33954/43548787_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""Open House - 0:00 - 3:00 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/167-Fletcher-St-Pt-Charlotte-FL-33954/43548787_zpid/"",""startDate"":""2023-09-24T12:00:00"",""endDate"":""2023-09-24T15:00:00"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""167 Fletcher St"",""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":27.027779,""longitude"":-82.096405},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""167 Fletcher St"",""postalCode"":""33954"",""addressLocality"":""Pt Charlotte"",""addressRegion"":""FL""}},""image"":""https://photos.zillowstatic.com/fp/034ff6136958fcfc7b753a0c56acac19-p_e.jpg"",""offers"":{""price"":330000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/167-Fletcher-St-Pt-Charlotte-FL-33954/43548787_zpid/"",""validFrom"":""2023-09-24T12:00:00""},""performer"":""Coldwell Banker Sunstar Realty""}","https://www.zillow.com/homedetails/167-Fletcher-St-Pt-Charlotte-FL-33954/43548787_zpid/","167 Fletcher St, Pt Charlotte, FL 33954","COLDWELL BANKER SUNSTAR REALTY, Stefanie Concannon","$330,000","- House for sale","3","bds","2","ba","1,564","sqft","Open: Sun. 12-3pm","","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/034ff6136958fcfc7b753a0c56acac19-p_e.jpg","https://photos.zillowstatic.com/fp/f7e4a1ac0384121711bc71a9de4c6524-p_e.jpg","https://photos.zillowstatic.com/fp/253263f4e435d5314ac53d0f06698efa-p_e.jpg","Use arrow keys to navigate","Image 1 of 45","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1559 Thumb Point Dr, Fort Pierce, FL 34949"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,308""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1559 Thumb Point Dr"",""addressLocality"":""Fort Pierce"",""addressRegion"":""FL"",""postalCode"":""34949""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":27.46319,""longitude"":-80.294754},""url"":""https://www.zillow.com/homedetails/1559-Thumb-Point-Dr-Fort-Pierce-FL-34949/2055589866_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""Open House - 1:00 - 4:00 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/1559-Thumb-Point-Dr-Fort-Pierce-FL-34949/2055589866_zpid/"",""startDate"":""2023-09-23T13:00:00"",""endDate"":""2023-09-23T16:00:00"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""1559 Thumb Point Dr"",""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":27.46319,""longitude"":-80.294754},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1559 Thumb Point Dr"",""postalCode"":""34949"",""addressLocality"":""Fort Pierce"",""addressRegion"":""FL""}},""image"":""https://photos.zillowstatic.com/fp/29ce15604af2e11a98ec727f7d626a02-p_e.jpg"",""offers"":{""price"":949000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/1559-Thumb-Point-Dr-Fort-Pierce-FL-34949/2055589866_zpid/"",""validFrom"":""2023-09-23T13:00:00""},""performer"":""Coldwell Banker Paradise""}","https://www.zillow.com/homedetails/1559-Thumb-Point-Dr-Fort-Pierce-FL-34949/2055589866_zpid/","1559 Thumb Point Dr, Fort Pierce, FL 34949","COLDWELL BANKER PARADISE. Listing provided by BeachesMLS","$949,000","- House for sale","3","bds","3","ba","2,308","sqft","Open: Sat. 1-4pm","","https://photos.zillowstatic.com/fp/11470fbfca6bd246a8708da0ff0e5603-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/29ce15604af2e11a98ec727f7d626a02-p_e.jpg","https://photos.zillowstatic.com/fp/f793540f4435f5d1fbf8c4d6ad132928-p_e.jpg","https://photos.zillowstatic.com/fp/24b52b0b621d2a3ef42aefad11ac3481-p_e.jpg","Use arrow keys to navigate","Image 1 of 64","Save this home"
